iter	MultiRMSE
0	13.17327149
1	12.1299979
2	12.02578224
3	11.91543076
4	10.38293061
5	9.515872281
6	9.515683188
7	9.515589453
8	8.415183977
9	8.329702595
10	8.329689267
11	7.614528593
12	7.614525184
13	7.614523494
14	7.614522657
15	7.41881466
16	7.353589295
17	7.273227153
18	6.842076894
19	6.832841301
20	6.681263281
21	6.681258989
22	6.681256861
23	6.681255807
24	6.681255284
25	6.681255025
26	6.654658101
27	6.362581027
28	6.347257366
29	6.288068109
30	6.288065224
31	6.049624497
32	6.049523691
33	5.990826503
34	5.977734676
35	5.977731407
36	5.966096015
37	5.966094005
38	5.672609241
39	5.672601344
40	5.672597429
41	5.557792974
42	5.557791989
43	5.36878212
44	5.339867833
45	5.269789512
46	5.248122318
47	5.17613494
48	5.176134802
49	5.143826308
50	5.143823906
51	5.003892368
52	4.993265589
53	4.854759926
54	4.854759492
55	4.844771157
56	4.836126986
57	4.831285025
58	4.736746063
59	4.678811309
60	4.678810704
61	4.678810404
62	4.678810255
63	4.678810182
64	4.588229373
65	4.552795149
66	4.548429474
67	4.53447597
68	4.534474774
69	4.534474181
70	4.504969277
71	4.504963672
72	4.502854992
73	4.501065693
74	4.398402812
75	4.392356569
76	4.388148838
77	4.376108285
78	4.339349846
79	4.324452742
80	4.282104937
81	4.269422705
82	4.230987861
83	4.226170155
84	4.216663901
85	4.206193384
86	4.20443756
87	4.204437167
88	4.20104719
89	4.201047185
90	4.198793765
91	4.139460047
92	4.139433839
93	4.139420847
94	4.129632542
95	4.125946637
96	4.117500749
97	4.113202307
98	4.102597288
99	4.097743507
100	4.096952579
101	4.068730318
102	4.068730242
103	4.067459878
104	4.066547415
105	4.06571633
106	4.056921307
107	3.989830055
108	3.98709079
109	3.985283889
110	3.969984489
111	3.969984109
112	3.96919446
113	3.967625029
114	3.967624981
115	3.966603418
116	3.933617677
117	3.895326789
118	3.888327824
119	3.888326534
120	3.850640171
121	3.818172071
122	3.816779141
123	3.815419393
124	3.814151995
125	3.812789282
126	3.81268175
127	3.807189263
128	3.806348256
129	3.805074876
130	3.804282885
131	3.802209019
132	3.80029603
133	3.800295992
134	3.789661975
135	3.789661788
136	3.786514143
137	3.786085349
138	3.7860853
139	3.781041763
140	3.779658787
141	3.776618256
142	3.77604115
143	3.775511267
144	3.774822972
145	3.77453372
146	3.77062765
147	3.767421256
148	3.764621775
149	3.764621703
150	3.758971501
151	3.752104063
152	3.752103858
153	3.751337025
154	3.751039352
155	3.744978499
156	3.741061257
157	3.740296669
158	3.738882981
159	3.738048903
160	3.738048885
161	3.738048877
162	3.738048872
163	3.722415238
164	3.689885981
165	3.689885715
166	3.689008608
167	3.684679192
168	3.684679042
169	3.684678968
170	3.680860271
171	3.68086027
172	3.680517751
173	3.676174203
174	3.666357062
175	3.666356862
176	3.666356762
177	3.66556108
178	3.661908337
179	3.66151581
180	3.661263225
181	3.640438853
182	3.639547536
183	3.639547213
184	3.639547052
185	3.638354928
186	3.638113919
187	3.637430391
188	3.636768634
189	3.609849765
190	3.609550213
191	3.609548983
192	3.609548373
193	3.586765483
194	3.577144226
195	3.576836153
196	3.536910659
197	3.529315194
198	3.52877637
199	3.526041264
200	3.522760629
201	3.501341705
202	3.501341644
203	3.501341614
204	3.493837072
205	3.493837056
206	3.491128401
207	3.491128343
208	3.485924729
209	3.485555212
210	3.485555203
211	3.485555198
212	3.444263296
213	3.443844826
214	3.442046627
215	3.438316819
216	3.41489183
217	3.414204712
218	3.414203626
219	3.352279028
220	3.350816077
221	3.350571479
222	3.350571057
223	3.350570848
224	3.349691625
225	3.348634025
226	3.348633987
227	3.34823204
228	3.348232039
229	3.348232038
230	3.348232038
231	3.348232038
232	3.347859925
233	3.344538332
234	3.344477035
235	3.343780461
236	3.343780432
237	3.337048073
238	3.337047941
239	3.33093956
240	3.33093919
241	3.329968043
242	3.329967883
243	3.32732777
244	3.324977787
245	3.324977743
246	3.321592239
247	3.321081946
248	3.315255723
249	3.302810326
250	3.302432497
251	3.288470998
252	3.268358168
253	3.264358021
254	3.26274611
255	3.262745496
256	3.262745192
257	3.256541503
258	3.256541481
259	3.25654147
260	3.255641338
261	3.254537631
262	3.239768214
263	3.239052169
264	3.238588424
265	3.238193055
266	3.23523341
267	3.235064827
268	3.231881528
269	3.215627557
270	3.215627461
271	3.215627413
272	3.215299279
273	3.215299267
274	3.20441845
275	3.203495956
276	3.203495879
277	3.174109139
278	3.167173561
279	3.167170599
280	3.16408874
281	3.164088365
282	3.163849218
283	3.163849194
284	3.14713164
285	3.143753047
286	3.143391284
287	3.141001464
288	3.141001457
289	3.141001453
290	3.119508892
291	3.116651835
292	3.109956529
293	3.10974389
294	3.105488607
295	3.105487798
296	3.09949163
297	3.099491176
298	3.099490951
299	3.097916727
300	3.09741314
301	3.096343481
302	3.096343007
303	3.096154188
304	3.053759796
305	3.053759478
306	3.053759321
307	3.053759243
308	3.049773528
309	3.048343492
310	3.048191914
311	3.047979289
312	3.042137368
313	2.990753501
314	2.990753229
315	2.987732239
316	2.987731989
317	2.987731865
318	2.987435255
319	2.987435207
320	2.986907798
321	2.984688831
322	2.979776296
323	2.977235193
324	2.975453008
325	2.966641196
326	2.966640757
327	2.966395654
328	2.965544329
329	2.965544068
330	2.965390977
331	2.965118797
332	2.965118778
333	2.928563588
334	2.92600566
335	2.925712207
336	2.919850682
337	2.906671054
338	2.906473229
339	2.906473185
340	2.905657617
341	2.905657581
342	2.905539243
343	2.861703646
344	2.861503689
345	2.861157068
346	2.861058521
347	2.86029301
348	2.860292754
349	2.860164912
350	2.830894881
351	2.828910787
352	2.820823906
353	2.817695725
354	2.81599082
355	2.815434965
356	2.815384944
357	2.802263744
358	2.801259861
359	2.800403906
360	2.799347117
361	2.799346769
362	2.799346597
363	2.798412487
364	2.797905541
365	2.797905479
366	2.794746676
367	2.793410093
368	2.792452778
369	2.78097206
370	2.780803942
371	2.780510481
372	2.780510399
373	2.77459012
374	2.773508328
375	2.773508318
376	2.773508313
377	2.771026979
378	2.771026961
379	2.767350756
380	2.76735073
381	2.766289226
382	2.766289148
383	2.765387271
384	2.763258051
385	2.763257988
386	2.76047968
387	2.760479569
388	2.760406643
389	2.760222708
390	2.754378892
391	2.753174616
392	2.753130998
393	2.743799083
394	2.73885199
395	2.738507998
396	2.738507981
397	2.73792082
398	2.737253601
399	2.737253599
400	2.737253598
401	2.736870229
402	2.736481573
403	2.736357351
404	2.736357351
405	2.733506817
406	2.732989995
407	2.732924962
408	2.70888504
409	2.708807406
410	2.707556239
411	2.69589095
412	2.689073203
413	2.688906975
414	2.688906746
415	2.688906633
416	2.688413478
417	2.688168297
418	2.687636316
419	2.687469603
420	2.687469603
421	2.686696551
422	2.685910737
423	2.678464777
424	2.676778213
425	2.669244141
426	2.66924391
427	2.669142126
428	2.669077823
429	2.667627897
430	2.666874612
431	2.666778486
432	2.66667375
433	2.66667375
434	2.66367606
435	2.66038186
436	2.658486063
437	2.658486025
438	2.656546081
439	2.653488243
440	2.652791057
441	2.652191204
442	2.648620392
443	2.644036825
444	2.644036714
445	2.642165865
446	2.641355205
447	2.640149837
448	2.640149799
449	2.640030012
450	2.639912966
451	2.639912966
452	2.618021113
453	2.616792955
454	2.602536766
455	2.602372882
456	2.599974288
457	2.599746376
458	2.590927332
459	2.587606028
460	2.587222021
461	2.586862057
462	2.586862047
463	2.586698685
464	2.586698683
465	2.586698682
466	2.586114948
467	2.585881722
468	2.585751541
469	2.585751539
470	2.584173555
471	2.582210136
472	2.582100019
473	2.582100007
474	2.580274694
475	2.58018126
476	2.579471879
477	2.579471878
478	2.579209805
479	2.578784146
480	2.578617284
481	2.578543372
482	2.577502223
483	2.576528246
484	2.575969693
485	2.57415936
486	2.554037255
487	2.553490056
488	2.553049082
489	2.551773013
490	2.551137122
491	2.550753269
492	2.550064457
493	2.550064447
494	2.550064441
495	2.550064439
496	2.550064438
497	2.546118057
498	2.546118028
499	2.545382176
500	2.545316017
501	2.545227688
502	2.544707548
503	2.544707546
504	2.513159587
505	2.512990317
506	2.512918032
507	2.509456668
508	2.509404027
509	2.509404004
510	2.485415943
511	2.485415794
512	2.480537351
513	2.480537338
514	2.478855448
515	2.475875072
516	2.475874487
517	2.475874198
518	2.4703596
519	2.470296117
520	2.470296112
521	2.470198701
522	2.469065014
523	2.467542521
524	2.466617535
525	2.465970669
526	2.465863359
527	2.464107553
528	2.462286529
529	2.460420118
530	2.45959883
531	2.459598798
532	2.45875666
533	2.458693115
534	2.45802627
535	2.458026268
536	2.457893504
537	2.457440639
538	2.457440632
539	2.45282708
540	2.452827053
541	2.45282704
542	2.452647502
543	2.452647502
544	2.451807907
545	2.451807896
546	2.45180789
547	2.451723151
548	2.451159711
549	2.450594179
550	2.450594155
551	2.450214814
552	2.448004562
553	2.446609442
554	2.44660944
555	2.446528333
556	2.443371217
557	2.443318559
558	2.441875618
559	2.441767887
560	2.441710754
561	2.44171074
562	2.440591683
563	2.440526476
564	2.440526471
565	2.438143594
566	2.438143511
567	2.438044267
568	2.438044246
569	2.438044235
570	2.429981686
571	2.429432043
572	2.427231286
573	2.426858563
574	2.426648729
575	2.426370246
576	2.426308064
577	2.42350554
578	2.422299662
579	2.422299651
580	2.422299645
581	2.420243387
582	2.415393342
583	2.412644591
584	2.412055515
585	2.40526841
586	2.405268391
587	2.405268382
588	2.405050282
589	2.400143397
590	2.40014338
591	2.400143372
592	2.394727134
593	2.394270992
594	2.394270959
595	2.394122253
596	2.394069942
597	2.394069927
598	2.394069919
599	2.393985507
600	2.387573709
601	2.387573675
602	2.387573658
603	2.387573649
604	2.387263714
605	2.387263713
606	2.387171332
607	2.386384515
608	2.38638443
609	2.386296213
610	2.383044474
611	2.382959323
612	2.382569595
613	2.38052123
614	2.380479476
615	2.365683551
616	2.365683471
617	2.365683431
618	2.3653779
619	2.36440827
620	2.363063453
621	2.362942346
622	2.361751427
623	2.361168008
624	2.361020813
625	2.3600659
626	2.358892567
627	2.358892547
628	2.3535125
629	2.352814592
630	2.352814511
631	2.32617327
632	2.325791619
633	2.325344728
634	2.325230509
635	2.325230384
636	2.31741854
637	2.309199536
638	2.309135764
639	2.298558083
640	2.298541747
641	2.298158877
642	2.296059894
643	2.293212488
644	2.293212196
645	2.29226773
646	2.292267461
647	2.292267327
648	2.292267261
649	2.292267228
650	2.292202325
651	2.28937877
652	2.288261856
653	2.284256143
654	2.251551199
655	2.251501739
656	2.24690657
657	2.246906415
658	2.24689668
659	2.246472297
660	2.244668101
661	2.24432606
662	2.242256584
663	2.242214222
664	2.23938531
665	2.238873944
666	2.238793022
667	2.230049583
668	2.226172423
669	2.226041007
670	2.226040441
671	2.226040161
672	2.226040022
673	2.226039953
674	2.215846002
675	2.215758031
676	2.195538162
677	2.192274978
678	2.192196677
679	2.192196547
680	2.19215218
681	2.192152143
682	2.187773301
683	2.187773162
684	2.187740751
685	2.18531351
686	2.185313468
687	2.185313447
688	2.184887333
689	2.184887333
690	2.184517195
691	2.181322918
692	2.181251183
693	2.181170894
694	2.18117084
695	2.181104619
696	2.181060505
697	2.181016186
698	2.180893206
699	2.179417204
700	2.176834403
701	2.176771703
702	2.176771672
703	2.176757601
704	2.172215394
705	2.172155337
706	2.165290667
707	2.165204815
708	2.158010005
709	2.158009258
710	2.157958186
711	2.157957992
712	2.157957896
713	2.157668486
714	2.143490476
715	2.140005389
716	2.13968641
717	2.139686243
718	2.139686161
719	2.139399164
720	2.139004533
721	2.138902223
722	2.138539571
723	2.138496329
724	2.138393147
725	2.116579355
726	2.116579186
727	2.115499222
728	2.115499087
729	2.115474055
730	2.115474023
731	2.115474007
732	2.115473999
733	2.112656516
734	2.112593043
735	2.112544273
736	2.112142468
737	2.111608424
738	2.106457315
739	2.106406968
740	2.093450209
741	2.093450103
742	2.09345005
743	2.093363309
744	2.093363295
745	2.091239269
746	2.090978341
747	2.090978338
748	2.090956124
749	2.09068101
750	2.090460897
751	2.090460895
752	2.090071672
753	2.090071671
754	2.079432037
755	2.079432016
756	2.079432006
757	2.077734499
758	2.077599059
759	2.077154755
760	2.076971553
761	2.075424113
762	2.073897888
763	2.07299601
764	2.072996
765	2.067627788
766	2.067627397
767	2.067627204
768	2.067627108
769	2.067340129
770	2.067146207
771	2.067146189
772	2.065964105
773	2.065278333
774	2.065122062
775	2.064222851
776	2.06275951
777	2.058919751
778	2.055981912
779	2.04107245
780	2.041072302
781	2.039028334
782	2.039028239
783	2.038339073
784	2.03833906
785	2.038339053
786	2.03833905
787	2.038339048
788	2.038281625
789	2.038212513
790	2.036229343
791	2.033809982
792	2.033656425
793	2.033612897
794	2.033612896
795	2.033546298
796	2.033362646
797	2.032645922
798	2.032467188
799	2.03190815
800	2.0318346
801	2.018747669
802	2.017392141
803	2.01736147
