iter	Passed	Remaining
0	0	1296
1	1	1157
2	2	1104
3	2	1116
4	5	1602
5	62	15625
6	63	13571
7	64	12003
8	65	10854
9	66	9902
10	67	9088
11	68	8430
12	68	7864
13	69	7384
14	70	6953
15	71	6655
16	72	6329
17	73	6035
18	74	5833
19	75	5590
20	77	5483
21	78	5280
22	79	5090
23	80	4916
24	80	4760
25	81	4611
26	82	4485
27	83	4361
28	83	4245
29	84	4144
30	85	4045
31	100	4605
32	101	4487
33	102	4401
34	103	4306
35	103	4210
36	104	4124
37	105	4047
38	120	4515
39	121	4422
40	122	4340
41	122	4262
42	123	4181
43	128	4235
44	128	4162
45	129	4099
46	130	4034
47	131	3984
48	132	3919
49	133	3868
50	134	3816
51	139	3877
52	140	3834
53	144	3851
54	144	3795
55	145	3748
56	146	3706
57	147	3666
58	162	3955
59	166	3990
60	167	3935
61	167	3884
62	168	3836
63	169	3790
64	216	4779
65	218	4739
66	219	4684
67	225	4733
68	225	4677
69	226	4621
70	229	4603
71	229	4549
72	230	4499
73	231	4451
74	231	4451
75	233	4432
76	235	4394
77	236	4352
78	238	4331
79	239	4291
80	240	4268
81	242	4231
82	246	4259
83	247	4223
84	248	4187
85	250	4153
86	250	4114
87	251	4073
88	254	4074
89	255	4039
90	255	4000
91	273	4225
92	274	4187
93	274	4149
94	276	4122
95	278	4117
96	279	4082
97	280	4050
98	282	4026
99	283	3996
100	283	3966
101	286	3961
102	287	3927
103	287	3897
104	288	3867
105	289	3836
106	290	3812
107	305	3967
108	306	3937
109	307	3909
110	308	3894
111	309	3869
112	311	3847
113	311	3819
114	312	3790
115	313	3762
116	437	5206
117	442	5218
118	443	5186
119	444	5147
120	449	5158
121	454	5171
122	455	5137
123	456	5099
124	457	5064
125	458	5030
126	458	4993
127	460	4962
128	460	4928
129	461	4896
130	462	4865
131	463	4833
132	464	4802
133	465	4769
134	466	4745
135	467	4718
136	468	4692
137	469	4663
138	470	4633
139	471	4609
140	472	4578
141	473	4556
142	474	4526
143	475	4498
144	475	4471
145	476	4445
146	477	4420
147	478	4396
148	479	4372
149	480	4345
150	482	4331
151	483	4306
152	483	4279
153	484	4254
154	485	4229
155	486	4210
156	487	4187
157	487	4163
158	488	4143
159	489	4119
160	490	4096
161	490	4072
162	491	4049
163	494	4043
164	501	4079
165	502	4057
166	503	4036
167	503	4013
168	504	3993
169	505	3973
170	506	3954
171	507	3933
172	507	3912
173	508	3893
174	510	3878
175	510	3860
176	511	3840
177	512	3823
178	513	3808
179	514	3788
180	515	3770
181	517	3760
182	518	3746
183	519	3726
184	519	3707
185	520	3688
186	520	3669
187	521	3651
188	521	3632
189	525	3634
190	525	3618
191	530	3624
192	530	3606
193	532	3595
194	534	3587
195	534	3571
196	640	4250
197	641	4236
198	643	4218
199	644	4200
200	645	4183
201	654	4219
202	655	4201
203	656	4186
204	658	4174
205	661	4171
206	663	4159
207	665	4144
208	668	4140
209	669	4124
210	670	4107
211	671	4090
212	899	5455
213	900	5429
214	905	5426
215	906	5404
216	913	5416
217	914	5391
218	914	5366
219	914	5366
220	916	5341
221	917	5319
222	917	5294
223	918	5270
224	919	5248
225	920	5225
226	920	5201
227	921	5179
228	922	5156
229	923	5133
230	923	5110
231	924	5088
232	925	5067
233	926	5048
234	927	5026
235	928	5006
236	928	4984
237	930	4969
238	931	4947
239	932	4930
240	933	4909
241	934	4890
242	935	4869
243	935	4849
244	936	4830
245	937	4811
246	938	4793
247	939	4773
248	940	4756
249	942	4742
